mu.R,mu.py,k.R,k.py,mean.n_try,var.n_try,p.20,graph.type,prob_epi,n,graph.var,corr.var,b.var,t.var.ratio,mean.var.ratio
NA,2.8354134165366616,NA,0.9678633943030728,5.546666666666667,21.70591048095635,0.5866574965612105,Negative Binomial,0.206,128,40,1,17,0.04972932,5
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,129,40,0,19,0.04521718,5
NA,2.7802621434078643,NA,1.029764200844813,6.61,40.785221017514594,0.5845119245701609,Negative Binomial,0.128,130,40,1,19,0.04521718,5
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,131,40,0,21,0.0414949,5
NA,2.4729613733905578,NA,1.1739835711603028,7.806666666666667,48.1494134000556,0.5731516834432488,Negative Binomial,0.107,132,40,1,21,0.0414949,5
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,133,40,0,23,0.03825944,5
NA,2.4846153846153847,NA,1.2108113604000934,10.35,120.40116763969975,0.565015479876161,Negative Binomial,0.105,134,40,1,23,0.03825944,5
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,135,40,0,25,0.0357363,5
NA,2.2358003442340793,NA,1.2376618330384683,11.093333333333334,105.6259772032249,0.5678406466512702,Negative Binomial,0.067,136,40,1,25,0.0357363,5
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,137,40,0,27,0.03324964,5
NA,2.3490792634107285,NA,1.0833217802133548,14.513333333333334,219.94644425910482,0.5844410361281527,Negative Binomial,0.068,138,40,1,27,0.03324964,5
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,139,40,0,29,0.03111772,5
NA,2.407862407862408,NA,1.0618110280046413,16.743333333333332,249.95908812899637,0.5732993197278912,Negative Binomial,0.056,140,40,1,29,0.03111772,5
NA,3.564610866372981,NA,1.1672769071732396,2.0233333333333334,2.211298304142341,0.5634397528321318,Negative Binomial,0.556,141,48,0,3,0.15044462,6
NA,7.432067932067932,NA,0.9306393799549544,1.7466666666666666,1.376969696969697,0.5690066536729619,Negative Binomial,0.519,142,48,1,3,0.15044462,6
NA,2.5462962962962963,NA,1.3148132759610092,3.033333333333333,7.605226577703642,0.5515702479338843,Negative Binomial,0.417,143,48,0,5,0.11912856,6
NA,5.803944315545244,NA,0.8977513571179042,2.026666666666667,1.8007895468445927,0.5806516090345792,Negative Binomial,0.457,144,48,1,5,0.11912856,6
NA,2.4713322091062393,NA,1.3570249786660018,4.476666666666667,13.227144842924659,0.5455475946775844,Negative Binomial,0.23,145,48,0,7,0.0975731,6
NA,4.659438775510204,NA,0.9423810721516005,2.4133333333333336,3.211832082290798,0.57661511086778,Negative Binomial,0.45,146,48,1,7,0.0975731,6
NA,2.2549697493517717,NA,1.4360591572606323,7.276666666666666,59.95675284959689,0.5506899195093906,Negative Binomial,0.128,147,48,0,9,0.08201116,6
NA,3.894141145139814,NA,0.8893136892329768,2.9766666666666666,5.734234083958855,0.6019832449991451,Negative Binomial,0.401,148,48,1,9,0.08201116,6
NA,2.0934497816593884,NA,1.609199888195059,20.523333333333333,370.8918654434251,0.5433875677930746,Negative Binomial,0.048,149,48,0,11,0.07032651,6
