mu.py,k.py,mean.n_try,var.n_try,p.20,graph.type,prob_epi,graph.var,t.var,graph.var.ratio,t.var.ratio
3.845153998304606,1.0441240940546621,7.484,48.47221621621622,0.5826719576719577,Negative Binomial,0.119,562,12625,70.25,50.5
4.003463895550227,0.9327101973185886,7.605,52.96594094094094,0.6033943427620633,Negative Binomial,0.144,562,18812,70.25,75.248
4.05234899328859,0.8801081088910995,7.509,51.24716616616617,0.6162305399138788,Negative Binomial,0.119,562,25000,70.25,100
3.857970215113072,1.1959138001883596,7.27,45.314414414414415,0.5561512617056259,Negative Binomial,0.139,588,250,73.5,1
4.0229949523275375,1.0648186744508719,7.284,48.88623023023023,0.5808587759654259,Negative Binomial,0.139,588,6437,73.5,25.748
3.9935538116591927,1.007076893695259,7.123,45.84171271271271,0.5891641518703067,Negative Binomial,0.129,588,12625,73.5,50.5
4.048492791612058,0.9108102421227784,8.374,67.876,0.6060213661379087,Negative Binomial,0.105,588,18812,73.5,75.248
4.120061570035916,0.8257690636442736,8.323,59.9265975975976,0.6252179327521793,Negative Binomial,0.139,588,25000,73.5,100
3.7560224089635854,1.150142458139518,7.264,39.7961001001001,0.5688716533671415,Negative Binomial,0.143,615,250,76.875,1
3.8499161542761318,1.0393009820060912,7.756,50.87533933933934,0.5830127041742287,Negative Binomial,0.106,615,6437,76.875,25.748
3.969744803998948,1.0187438425602775,7.603,44.14153253253253,0.579163629133806,Negative Binomial,0.14,615,12625,76.875,50.5
3.9386223532564997,0.8663224421297487,7.612,46.321777777777775,0.6120449132357945,Negative Binomial,0.137,615,18812,76.875,75.248
3.987589120675997,0.8716000287510065,8.378,60.26538138138138,0.6164492417720681,Negative Binomial,0.121,615,25000,76.875,100
4.1230292792792795,1.0520286293555934,7.351,42.806605605605604,0.5765790372140662,Negative Binomial,0.148,641,250,80.125,1
4.073078989790435,0.9868692861304431,7.167,42.53965065065065,0.5908311345646438,Negative Binomial,0.12,641,6437,80.125,25.748
4.211352341093382,0.967873666899455,7.546,48.6205045045045,0.590807453416149,Negative Binomial,0.141,641,12625,80.125,50.5
4.342566709021601,0.8541167926757988,8.163,56.04247347347347,0.6136470037453183,Negative Binomial,0.108,641,18812,80.125,75.248
4.371576227390181,0.8042980714440583,8.25,56.429929929929926,0.6283839697363754,Negative Binomial,0.118,641,25000,80.125,100
3.9616234124792933,1.1340934620922667,7.306,49.38775175175175,0.5604571747160081,Negative Binomial,0.16,668,250,83.5,1
3.9937254901960784,1.0261195350224461,7.608,49.61995595595596,0.5809112333071484,Negative Binomial,0.131,668,6437,83.5,25.748
3.9786832164058286,1.0139527477174795,8.033,54.27218318318318,0.5820956256358087,Negative Binomial,0.129,668,12625,83.5,50.5
4.021766324743558,0.9170705103451154,8.511,64.98686586586587,0.6027993779160187,Negative Binomial,0.117,668,18812,83.5,75.248
3.949899295065458,0.8385843270320361,8.756,63.481945945945945,0.6199885269934349,Negative Binomial,0.115,668,25000,83.5,100
